left_stim_name,left_stim_number,right_stim_name,right_stim_number,shceduled_outcome,stim_onset,key_press,RT,accuracy,reward_outcome,feedback_onset,block
./Stims/1.bmp,4,./Stims/4.bmp,3,1,0.013042100001257495,4,2.9468895999998495,1,correct_reward,4.981509400000505,0
./Stims/6.bmp,2,./Stims/3.bmp,5,0,5.612860799999908,1,1.7631965999989916,0,probabalistic_reward,9.396674400000848,0
./Stims/2.bmp,6,./Stims/5.bmp,1,1,21.23618929999975,1,3.2198184999997466,1,correct_reward,26.464213900000686,0
./Stims/1.bmp,4,./Stims/4.bmp,3,1,30.51940780000041,4,3.0246387000006507,1,correct_reward,35.563011399999596,0
./Stims/5.bmp,1,./Stims/2.bmp,6,1,37.7513983000008,1,1.3447889999988547,0,incorrect,41.113205700001345,0
./Stims/3.bmp,5,./Stims/6.bmp,2,1,44.13216769999963,4,1.5718367999998009,1,correct_reward,47.71353110000018,0
./Stims/5.bmp,1,./Stims/2.bmp,6,0,53.94643420000102,1,1.5736925000001065,0,probabalistic_reward,57.52931090000129,0
./Stims/4.bmp,3,./Stims/1.bmp,4,0,64.07227460000104,4,2.0958319999990636,0,probabalistic_reward,68.17987290000019,0
./Stims/6.bmp,2,./Stims/3.bmp,5,0,69.74464989999979,1,1.3594038999999611,0,probabalistic_reward,73.11401260000093,0
./Stims/5.bmp,1,./Stims/2.bmp,6,1,73.43606630000068,4,10.164035400001012,0,incorrect,85.61368849999963,0
./Stims/3.bmp,5,./Stims/6.bmp,2,1,88.63163180000083,1,1.1127259000004415,1,correct_reward,91.76224250000087,0
./Stims/1.bmp,4,./Stims/4.bmp,3,0,94.57117910000125,4,4.2530501000001095,1,correct_unrewarded,100.8468954,0
./Stims/3.bmp,5,./Stims/6.bmp,2,0,103.86394710000059,1,0.8002101000001858,1,correct_unrewarded,106.68031660000088,0
./Stims/5.bmp,1,./Stims/2.bmp,6,1,109.69732620000104,4,0.6627758000013273,0,incorrect,112.38013630000023,0
./Stims/4.bmp,3,./Stims/1.bmp,4,0,115.39707090000047,1,0.659063300001435,0,probabalistic_reward,118.06185910000022,0
./Stims/2.bmp,6,./Stims/5.bmp,1,0,121.80376360000082,4,8.63635179999983,1,correct_unrewarded,132.46241689999988,0
./Stims/6.bmp,2,./Stims/3.bmp,5,1,135.48148010000114,1,0.9586510999997699,0,incorrect,138.46163330000127,0
./Stims/4.bmp,3,./Stims/1.bmp,4,1,141.48156310000013,4,2.1025599999993574,0,incorrect,145.5955224999998,0
./Stims/3.bmp,5,./Stims/6.bmp,2,1,148.615677400001,1,0.7605307000012544,1,correct_reward,151.3962362000002,0
./Stims/2.bmp,6,./Stims/5.bmp,1,1,153.89349419999962,4,1.6506736999999703,1,correct_reward,157.56232180000006,0
./Stims/1.bmp,4,./Stims/4.bmp,3,0,160.0605026000012,4,1.7796414000004006,1,correct_unrewarded,163.86247780000122,0
./Stims/6.bmp,2,./Stims/3.bmp,5,1,166.8804297000006,1,0.9117612999998528,0,incorrect,169.81161229999998,0
./Stims/4.bmp,3,./Stims/1.bmp,4,1,172.8305732000008,4,1.4655975000005128,0,incorrect,176.31223669999963,0
./Stims/5.bmp,1,./Stims/2.bmp,6,1,179.33051140000134,1,1.269720899999811,0,incorrect,182.6119305000011,0
./Stims/6.bmp,2,./Stims/3.bmp,5,1,185.6308681999999,4,0.42538840000088385,0,incorrect,188.07759430000078,0
./Stims/5.bmp,1,./Stims/2.bmp,6,1,191.09802970000055,1,1.3421493000005285,0,incorrect,194.4609934,0
./Stims/4.bmp,3,./Stims/1.bmp,4,0,197.48223770000004,4,1.813993499999924,0,probabalistic_reward,201.3110054000008,0
./Stims/1.bmp,4,./Stims/4.bmp,3,1,203.49699350000083,1,1.8955607000007149,1,correct_reward,207.4106642000006,0
./Stims/6.bmp,2,./Stims/3.bmp,5,1,209.5975838000013,4,1.8826009000003978,0,incorrect,213.49468119999983,0
./Stims/2.bmp,6,./Stims/5.bmp,1,1,216.5151721000002,1,0.5010167000000365,1,correct_reward,219.02835460000097,0
./Stims/3.bmp,5,./Stims/6.bmp,2,0,220.90331669999978,4,1.648991300000489,1,correct_unrewarded,224.5616581000013,0
./Stims/5.bmp,1,./Stims/2.bmp,6,1,227.58082020000074,1,0.643586400001368,0,incorrect,230.2450901000011,0
./Stims/1.bmp,4,./Stims/4.bmp,3,0,233.2640878000002,4,2.000266200000624,1,correct_unrewarded,237.2773158,0
./Stims/2.bmp,6,./Stims/5.bmp,1,1,240.29734720000124,1,1.9348819000006188,1,correct_reward,244.2437243000004,0
./Stims/3.bmp,5,./Stims/6.bmp,2,1,247.3629486000009,4,2.7973480000000563,1,correct_reward,252.17794160000085,0
./Stims/4.bmp,3,./Stims/1.bmp,4,1,260.8994839999996,4,1.9328893999991124,0,incorrect,264.8434346000013,0
./Stims/1.bmp,4,./Stims/4.bmp,3,1,267.8653685999998,1,0.8628441000000748,1,correct_reward,270.74172739999995,0
./Stims/5.bmp,1,./Stims/2.bmp,6,1,274.1718080999999,4,2.732601200001227,0,incorrect,278.9109220999999,0
./Stims/6.bmp,2,./Stims/3.bmp,5,0,281.931869,1,1.8843850000012026,0,probabalistic_reward,285.82635670000127,0
./Stims/2.bmp,6,./Stims/5.bmp,1,1,290.18926620000093,4,2.995074399999794,1,correct_reward,295.19434470000124,0
./Stims/1.bmp,4,./Stims/4.bmp,3,1,297.0688616000007,1,3.8274516999990738,1,correct_reward,302.90976899999987,0
./Stims/6.bmp,2,./Stims/3.bmp,5,1,305.09685870000067,1,1.863831399999981,0,incorrect,308.9757195000002,0
./Stims/2.bmp,6,./Stims/5.bmp,1,0,311.997731200001,4,0.5867644999998447,1,correct_unrewarded,314.5936934000001,0
./Stims/3.bmp,5,./Stims/6.bmp,2,1,317.6146871000001,4,1.329642700000477,1,correct_reward,320.95988469999975,0
./Stims/1.bmp,4,./Stims/4.bmp,3,1,322.8340814000003,4,1.6782301000002917,1,correct_reward,326.5272765000009,0
./Stims/4.bmp,3,./Stims/1.bmp,4,1,329.6468466000006,4,2.7695342999995773,0,incorrect,334.4252408000011,0
./Stims/3.bmp,5,./Stims/6.bmp,2,0,337.44816770000034,4,7.144261900000856,1,correct_unrewarded,346.6096376000005,0
./Stims/2.bmp,6,./Stims/5.bmp,1,1,349.6317467000008,1,2.3607334999996965,1,correct_reward,354.00994660000106,0
./Stims/4.bmp,3,./Stims/1.bmp,4,1,360.240492500001,4,1.5039498000005551,0,incorrect,363.75813910000034,0
./Stims/5.bmp,1,./Stims/2.bmp,6,0,366.78112130000045,1,1.0833462999999028,0,probabalistic_reward,369.8750192999996,0
./Stims/6.bmp,2,./Stims/3.bmp,5,1,375.48979620000136,4,1.49458980000054,0,incorrect,378.99258929999996,0
./Stims/3.bmp,5,./Stims/6.bmp,2,1,382.01563630000055,1,1.328857299999072,1,correct_reward,385.3586410000007,0
./Stims/4.bmp,3,./Stims/1.bmp,4,1,387.8595174000002,4,6.804985599999782,0,incorrect,396.67545040000005,0
./Stims/2.bmp,6,./Stims/5.bmp,1,1,399.69835930000045,1,3.2860864000012953,1,correct_reward,404.9922478999997,0
./Stims/5.bmp,1,./Stims/2.bmp,6,1,409.05150239999966,4,10.804990000000544,0,incorrect,421.87397489999967,0
./Stims/4.bmp,3,./Stims/1.bmp,4,0,424.8979056999997,1,6.350606899999548,0,probabalistic_reward,433.258554,0
./Stims/3.bmp,5,./Stims/6.bmp,2,1,443.5463445000005,4,1.670281900000191,1,correct_reward,447.22490300000027,0
./Stims/6.bmp,2,./Stims/3.bmp,5,1,455.0203923000008,4,4.916209700000763,0,incorrect,461.95754769999985,0
./Stims/1.bmp,4,./Stims/4.bmp,3,0,464.9795498000003,1,1.412934600000881,1,correct_unrewarded,468.40738200000123,0
./Stims/2.bmp,6,./Stims/5.bmp,1,1,471.43132309999964,4,0.6732318000013038,1,correct_reward,474.1244783000002,0
